game_id,season,week,season_type,home_team,away_team,home_score,away_score,actual_home_margin,actual_total,market_home_spread,market_total,completed,home_feature_team,home_prior_weeks,home_prev_season_off_epa,home_prev_season_off_success_rate,home_prev_season_off_explosive_rate,home_prev_season_off_pass_epa,home_prev_season_off_rush_epa,home_prev_season_havoc_allowed_rate,home_prev_season_line_yards_per_rush,home_prev_season_scoring_opp_rate,home_prev_season_avg_start_yards_to_endzone,home_prev_season_drives,home_prev_season_plays_per_drive,home_prev_season_def_epa_allowed,home_prev_season_def_success_allowed,home_prev_season_def_explosive_allowed,home_prev_season_def_pass_epa_allowed,home_prev_season_def_rush_epa_allowed,home_prev_season_def_havoc_created_rate,home_prev_season_def_line_yards_allowed,home_prev_season_def_scoring_opp_allowed,home_pregame_off_epa,home_pregame_off_success_rate,home_pregame_off_explosive_rate,home_pregame_off_pass_epa,home_pregame_off_rush_epa,home_pregame_havoc_allowed_rate,home_pregame_line_yards_per_rush,home_pregame_scoring_opp_rate,home_pregame_avg_start_yards_to_endzone,home_pregame_drives,home_pregame_plays_per_drive,home_pregame_def_epa_allowed,home_pregame_def_success_allowed,home_pregame_def_explosive_allowed,home_pregame_def_pass_epa_allowed,home_pregame_def_rush_epa_allowed,home_pregame_def_havoc_created_rate,home_pregame_def_line_yards_allowed,home_pregame_def_scoring_opp_allowed,away_feature_team,away_prior_weeks,away_prev_season_off_epa,away_prev_season_off_success_rate,away_prev_season_off_explosive_rate,away_prev_season_off_pass_epa,away_prev_season_off_rush_epa,away_prev_season_havoc_allowed_rate,away_prev_season_line_yards_per_rush,away_prev_season_scoring_opp_rate,away_prev_season_avg_start_yards_to_endzone,away_prev_season_drives,away_prev_season_plays_per_drive,away_prev_season_def_epa_allowed,away_prev_season_def_success_allowed,away_prev_season_def_explosive_allowed,away_prev_season_def_pass_epa_allowed,away_prev_season_def_rush_epa_allowed,away_prev_season_def_havoc_created_rate,away_prev_season_def_line_yards_allowed,away_prev_season_def_scoring_opp_allowed,away_pregame_off_epa,away_pregame_off_success_rate,away_pregame_off_explosive_rate,away_pregame_off_pass_epa,away_pregame_off_rush_epa,away_pregame_havoc_allowed_rate,away_pregame_line_yards_per_rush,away_pregame_scoring_opp_rate,away_pregame_avg_start_yards_to_endzone,away_pregame_drives,away_pregame_plays_per_drive,away_pregame_def_epa_allowed,away_pregame_def_success_allowed,away_pregame_def_explosive_allowed,away_pregame_def_pass_epa_allowed,away_pregame_def_rush_epa_allowed,away_pregame_def_havoc_created_rate,away_pregame_def_line_yards_allowed,away_pregame_def_scoring_opp_allowed,sealed_test_season,market_favorite,market_favorite_size
401643750,2024,10,2,New Mexico,Wyoming,45.0,49.0,-4.0,94.0,-7.5,60.5,True,New Mexico,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wyoming,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,New Mexico,7.5
401643820,2024,10,2,Texas State,Louisiana,17.0,23.0,-6.0,40.0,-4.0,60.5,True,Texas State,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Louisiana,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Texas State,4.0
401643821,2024,10,2,App State,Old Dominion,28.0,20.0,8.0,48.0,2.5,58.0,True,App State,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Old Dominion,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Old Dominion,2.5
401643822,2024,10,2,Marshall,UL Monroe,28.0,23.0,5.0,51.0,-10.5,48.0,True,Marshall,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UL Monroe,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Marshall,10.5
401643823,2024,10,2,South Alabama,Georgia Southern,30.0,34.0,-4.0,64.0,-5.5,60.0,True,South Alabama,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Georgia Southern,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,South Alabama,5.5
401643824,2024,10,2,Troy,Coastal Carolina,38.0,24.0,14.0,62.0,4.0,51.5,True,Troy,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coastal Carolina,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Coastal Carolina,4.0
401644757,2024,10,2,Akron,Buffalo,30.0,41.0,-11.0,71.0,1.0,48.0,True,Akron,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buffalo,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Buffalo,1.0
401644758,2024,10,2,Eastern Michigan,Toledo,28.0,29.0,-1.0,57.0,10.0,54.5,True,Eastern Michigan,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toledo,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Toledo,10.0
401645356,2024,10,2,Charlotte,Tulane,3.0,34.0,-31.0,37.0,14.5,55.0,True,Charlotte,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tulane,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tulane,14.5
401645357,2024,10,2,Florida Atlantic,South Florida,21.0,44.0,-23.0,65.0,1.5,48.0,True,Florida Atlantic,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Florida,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,South Florida,1.5
401645358,2024,10,2,UAB,Tulsa,59.0,21.0,38.0,80.0,-2.5,57.5,True,UAB,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tulsa,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,UAB,2.5
401645359,2024,10,2,UTSA,Memphis,44.0,36.0,8.0,80.0,7.0,61.5,True,UTSA,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Memphis,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Memphis,7.0
401645360,2024,10,2,Rice,Navy,24.0,10.0,14.0,34.0,12.5,49.0,True,Rice,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Navy,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Navy,12.5
